3123,2008,288,3441,4155,3712,3126,4153,3472,4149,764,2033,3983,2027,1638,4170,962,750,1240,3127,3121,3135,2035,2023,1505,4150,3595,1062,1337,982
1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0
4215,4214,4189,4204,1264,1187,4217,4202,2063,2057,2043,2046,1219,1740,2055,2048,1152,1031,1176,1009,2071,2051,4188,4206,1611,1540,2065,2068,4198,4221
1,1,1,1,0,1,1,1,1,0,1,1,1,0,1
